ID,meanRank,medianRank,actual
59,10,8,0.46
60,3,5,0.391
61,7,8,0.466
62,15,12,0.522
63,12,12,0.463
64,1,3,0.509
65,13,11,0.505
66,11,12,0.487
67,3,8,0.485
68,7,5,0.544
69,3,3,0.456
70,1,1,0.42
71,3,2,0.423
72,7,5,0.458
73,14,12,0.547
