ID,meanRank,medianRank,actual
44,11,12,0.756
45,8,7,0.4
46,13,12,0.63
47,3,1,0.598
48,2,1,0.513
49,11,10,0.515
50,14,12,0.614
51,6,3,0.663
52,3,3,0.551
53,10,10,0.485
54,1,3,0.491
55,5,3,0.562
56,15,15,0.786
57,8,8,0.504
58,6,8,0.505
