ID,meanRank,medianRank,actual
54,1,1,0.37
51,2,4,0.32
47,3,2,0.30
57,4,3,0.24
45,6,4,0.33
53,9,4,0.27
46,6,4,0.28
56,6,4,0.22
55,9,4,0.26
48,4,4,0.30
49,9,4,0.20
52,13,4,0.28
58,12,13,0.34
50,14,13,0.29
44,15,13,0.28
