ID,actual,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
59,0.46,3,3,1,2,,,4,2,1,,4,,5,,1
60,0.391,2,5,5,5,,,5,3,5,,2,,3,,5
61,0.466,2,4,3,3,,,4,5,3,,1,,5,,3
62,0.522,2,2,4,3,,,3,1,1,,2,,1,,4
63,0.463,3,1,4,2,,,5,2,2,,3,,1,,2
64,0.509,3,4,3,2,,,5,2,5,,4,,3,,3
65,0.505,1,1,2,4,,,4,4,5,,1,,1,,5
66,0.487,4,2,1,1,,,2,5,3,,1,,2,,4
67,0.485,1,4,2,4,,,2,4,4,,2,,5,,1
68,0.544,5,2,3,3,,,1,3,4,,3,,4,,2
69,0.456,5,5,2,5,,,3,5,3,,3,,4,,1
70,0.42,4,3,4,5,,,1,4,4,,5,,4,,2
71,0.423,4,5,5,1,,,1,1,2,,5,,3,,3
72,0.458,5,3,5,1,,,3,1,1,,5,,2,,4
73,0.547,1,1,1,4,,,2,3,2,,4,,2,,5
