ID,actual,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
44,0.756,,1,,4,3,,1,5,,,1,3,,2,1
45,0.4,,5,,2,4,,2,1,,,4,1,,4,3
46,0.63,,3,,3,4,,1,1,,,3,2,,1,1
47,0.598,,3,,5,5,,4,5,,,2,5,,2,4
48,0.513,,2,,5,5,,4,5,,,4,3,,5,3
49,0.515,,4,,3,1,,4,2,,,2,3,,1,4
50,0.614,,1,,2,2,,3,4,,,1,1,,2,1
51,0.663,,2,,3,1,,5,4,,,4,5,,4,2
52,0.551,,5,,3,4,,5,3,,,5,5,,5,3
53,0.485,,3,,3,2,,5,2,,,3,2,,4,2
54,0.491,,5,,3,5,,2,3,,,5,4,,3,5
55,0.562,,4,,5,2,,3,3,,,5,4,,5,4
56,0.786,,1,,3,1,,1,1,,,3,1,,1,2
57,0.504,,2,,4,3,,2,2,,,1,4,,3,5
58,0.505,,4,,3,3,,3,4,,,2,2,,3,5
