ID,actual,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
59,0.582,2,3,3,5,,,4,2,2,,3,,4,,3
60,0.479,1,5,4,5,,,5,1,3,,3,,5,,3
61,0.583,1,4,2,4,,,4,4,1,,2,,3,,3
62,0.668,2,2,5,5,,,2,1,1,,4,,4,,4
63,0.525,1,1,1,2,,,5,3,4,,2,,1,,1
64,0.658,4,4,5,2,,,5,2,3,,5,,2,,5
65,0.653,3,1,5,3,,,3,5,5,,5,,1,,5
66,0.625,2,2,1,2,,,1,5,4,,1,,3,,4
67,0.627,4,4,4,3,,,3,2,3,,1,,2,,2
68,0.715,3,2,2,1,,,2,5,5,,2,,4,,2
69,0.537,4,5,3,4,,,4,3,4,,4,,5,,4
70,0.488,5,3,3,4,,,1,4,5,,1,,3,,2
71,0.48,5,5,4,3,,,1,1,2,,3,,2,,1
72,0.553,3,3,1,1,,,3,4,1,,5,,1,,1
73,0.722,5,1,2,1,,,2,3,2,,4,,5,,5
